"Date","NAME","FinYear","RelSurfaceArea"
1983-10-01,"Australian Capital Territory","1984",0.182542149715517
1983-10-01,"New South Wales","1984",0.288673504192556
1983-10-01,"Northern Territory","1984",0.0637034603213607
1983-10-01,"Other Territories","1984",0.511783874551958
1983-10-01,"Queensland","1984",0.352900778838585
1983-10-01,"South Australia","1984",0.253795503638099
1983-10-01,"Tasmania","1984",0.417200318195013
1983-10-01,"Victoria","1984",0.353484781052239
1983-10-01,"Western Australia","1984",0.362642403695919
1983-10-01,NA,"1984",0.430986762303268
1983-11-01,"Australian Capital Territory","1984",0.187331820881914
1983-11-01,"New South Wales","1984",0.295196111604698
1983-11-01,"Northern Territory","1984",0.0732679010624577
1983-11-01,"Other Territories","1984",0.578486501281594
1983-11-01,"Queensland","1984",0.350602580799403
1983-11-01,"South Australia","1984",0.216180118509763
1983-11-01,"Tasmania","1984",0.468004027729534
1983-11-01,"Victoria","1984",0.379575214688907
1983-11-01,"Western Australia","1984",0.343683142459823
1983-11-01,NA,"1984",0.448573071081917
1983-12-01,"Australian Capital Territory","1984",0.59546119302198
1983-12-01,"New South Wales","1984",0.408975380033187
1983-12-01,"Northern Territory","1984",0.0748867997687251
1983-12-01,"Other Territories","1984",0.575272450044982
1983-12-01,"Queensland","1984",0.411688395719783
1983-12-01,"South Australia","1984",0.306971297554372
1983-12-01,"Tasmania","1984",0.40677387884011
1983-12-01,"Victoria","1984",0.39678890670318
1983-12-01,"Western Australia","1984",0.367778274833809
1983-12-01,NA,"1984",0.40141404825346
1984-01-01,"Australian Capital Territory","1984",0.546359478293795
1984-01-01,"New South Wales","1984",0.425002522558543
1984-01-01,"Northern Territory","1984",0.0989473034046032
1984-01-01,"Other Territories","1984",0.492403499399152
1984-01-01,"Queensland","1984",0.409356930408658
1984-01-01,"South Australia","1984",0.267958644397936
1984-01-01,"Tasmania","1984",0.324343031456385
1984-01-01,"Victoria","1984",0.345600741023021
1984-01-01,"Western Australia","1984",0.355728189315354
1984-01-01,NA,"1984",0.365498088615398
1984-02-01,"Australian Capital Territory","1984",0.524966073156899
1984-02-01,"New South Wales","1984",0.425003700189243
1984-02-01,"Northern Territory","1984",0.142238117141957
1984-02-01,"Other Territories","1984",0.468846772501279
1984-02-01,"Queensland","1984",0.404463314254446
1984-02-01,"South Australia","1984",0.250713948987779
1984-02-01,"Tasmania","1984",0.355658177300684
1984-02-01,"Victoria","1984",0.353769943190817
1984-02-01,"Western Australia","1984",0.311635144484956
1984-02-01,NA,"1984",0.348519441697162
1984-03-01,"Australian Capital Territory","1984",0.483232074946357
1984-03-01,"New South Wales","1984",0.414170194340305
1984-03-01,"Northern Territory","1984",0.16770073448587
1984-03-01,"Other Territories","1984",0.405194487756632
1984-03-01,"Queensland","1984",0.39381851923901
1984-03-01,"South Australia","1984",0.271129410840109
1984-03-01,"Tasmania","1984",0.377453717255977
1984-03-01,"Victoria","1984",0.396279530250663
1984-03-01,"Western Australia","1984",0.265623950235263
1984-03-01,NA,"1984",0.332071371330035
1984-04-01,"Australian Capital Territory","1984",0.53806994501238
1984-04-01,"New South Wales","1984",0.455207712359148
1984-04-01,"Northern Territory","1984",0.205723750788185
1984-04-01,"Other Territories","1984",0.467843490151299
1984-04-01,"Queensland","1984",0.380525098896
1984-04-01,"South Australia","1984",0.275272546358405
1984-04-01,"Tasmania","1984",0.411044364390458
1984-04-01,"Victoria","1984",0.428118219680529
1984-04-01,"Western Australia","1984",0.299621661516767
1984-04-01,NA,"1984",0.361989531813208
1984-05-01,"Australian Capital Territory","1984",0.504190535841665
1984-05-01,"New South Wales","1984",0.389532920264589
1984-05-01,"Northern Territory","1984",0.191710648315322
1984-05-01,"Other Territories","1984",0.488178778312836
1984-05-01,"Queensland","1984",0.357455358952431
